"X.1","X","Parent.s.age..years.","Parent.s.sex","Parent.s.education.level","Employment.status","Family.type","Your.average.household.income.per.month..BDT.","Child.s.sex","Child.s.age..years.","Number.of.children","Who.is.the.leading.child.caregiver.at.home.","Are.grandparents.at.home.involved.in.treatment.decisions.when.your.child.is.ill.","Antibiotic.kills.the.bacteria.Yes.","X.Amoxicillin.is.an.antibiotic..Yes.","X.Azithromycin.is.an.antibiotic.Yes.","X.Paracetamol.is.an.antibiotic.No.","X.Antibiotic.kills.the.virus.No.","X.Antibiotics.used.to.treat.diarrhoea.Yes.","X.Antibiotics.are.useful.for.flu.and.cough.No.","X.Antibiotic.resistant.bacteria.are.difficult.to.treat.Yes.","X.Misuse.of.antibiotics.can.lead.to.antibiotic.resistant.bacteria.Yes.","X.Antibiotics.can.cause.allergic.reactions.Yes.","X.Antibiotics.can.kill.0rmal.flora.Yes.","X.Infectious.disease.are.becoming.difficult.to.treat.with.antibiotics.Yes.","Total_Knowledge_Score","Percent_Knowledge_Score","X.I.will.see.another.doctor.if.the.first.one.has.not.been.prescribed.antibiotics.Disagree.","X.I.am.not.satisfied.if.the.doctor.does.not.prescribe.an.antibiotic.to.me.Disagree.","X.Antibiotics.are.safe.and.hence.can.be.used.commonly.Disagree.","X.Sick.child.is.given.antibiotics..even.there.is.no.indication.Disagree.","X.Antibiotics.can.improve.fever.in.children.Disagree.","A.child.with.cold.is.given.antibiotics.Disagree.","I.stop.antibiotics.when.my.child.condition.improves.Disagree.","I.reusing.the.same.antibiotics.for.similar.symptoms.Disagree.","Leftover.antibiotics.are.good.to.keep.at.home.in.case.I.might.need.them.for.my.child.later.on.Disagree.","Doctors.often.take.time.to.inform.parents.how.antibiotics.should.be.used.for.their.children.Disagree.","Total_Attitude_Score","Percent_Attitude_Score","X.I.give.my.children.antibiotics.No.","X.I.check.expiring.date.of.antibiotic.before.giving.to.children.Yes.","X.I.seek.medical.advice.before.giving.antibiotic.to.my.children.Yes.","X.I.give.my.children.antibiotics.when.they.get.cough.No.","X.I.like.to.take.antibiotic.from.pharmacy.instead.of.taking.from.doctor.No.","X.My.child.should.complete.a.given.dose..even.he.improve.after.2.dose.Yes.","Total_Practice_Score","Percent_Practice_Score","Source.s..of.information.about.antibiotics","Information.provided.by.pharmaceutical.companies.leaflet","Information.from.prescribers","Information.from.dispensers","Information.from.nurses","Information.given.by.a.colleague","Information.from.University.courses","Internet","Social.media","Others...55","Why.would.you.give.your.child.antibiotics.without.a.physician.s.advice...You.can.choose.more.than.one.","I.thought.that.my.child.s.condition.was.not.severe.enough","I.didn.t.have.enough.time.to.visit.a.doctor","I.didn.t.have.enough.money.to.pay.for.the.hospital.visit","Lack.of.hospitals.in.the.nearest.place","It.is.convenient.to.purchase.antibiotics.from.retail.pharmacies","Lack.of.trust.in.medical.service","No.confidence.with.doctor.s.medication","Easier.to.apply.previous.prescription","Suggestions.from.others","Knowledge.of.antibiotics","I.don.t.give.antibiotics.without.doctor.s.consultation","Others...68","Knowledge_Level","Attitude_Level","Practice_Level","Parents_age_years","Parents_sex","Parents_education_level","Employment_status","Family_type","Your_average_household_income_per_month_USD","Childs_sex","Childs_age","Number_of_children","Who_is_the_leading_child_caregiver_at_home","Are_grandparents_at_home_involved_in_treatment_decisions_when_your_child_is_ill.","Knowledge_Level_cat","Attitude_Level_cat","Practice_Level_cat"
326,326,3,1,2,1,1,2,2,1,3,2,1,1,0,0,1,1,0,0,1,1,1,1,0,7,70,1,1,1,1,0,0,1,1,1,1,8,80,1,0,0,0,0,0,1,16.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,"36-45","Male","Secondary","Employed","Nuclear Family","Middle (less than 550 USD)","Female","<5",">=3","Mother","Never","Moderate","Positive","Misuse"
327,327,3,2,6,3,2,3,1,3,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,3,30,1,1,1,1,0,1,1,1,1,1,9,90,1,0,0,0,1,0,2,33.3333333333333,FALSE,0,1,1,1,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,"36-45","Female","Postgraduate","Not Employed","Single Family","High (greater than 550 USD)","Male",">10","2","Mother","Never","Poor","Positive","Misuse"
328,328,2,1,2,1,2,1,2,3,3,2,1,0,0,0,0,0,0,1,1,1,1,0,0,4,40,1,1,0,1,1,1,0,0,1,1,7,70,1,0,1,1,1,1,5,83.3333333333333,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,"25-35","Male","Secondary","Employed","Single Family","Low (less than 350 USD)","Female",">10",">=3","Mother","Never","Poor","Uncertain","Good"
329,329,2,1,5,2,1,2,2,3,2,2,1,1,1,1,1,0,1,0,0,1,1,0,0,7,70,1,1,0,1,1,0,1,0,1,0,6,60,1,1,1,1,0,0,4,66.6666666666667,FALSE,0,1,1,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,"25-35","Male","Undergraduate","Self Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Mother","Never","Moderate","Uncertain","Misuse"
330,330,2,1,5,2,1,2,1,2,2,2,2,1,1,0,1,0,1,1,1,1,1,0,0,8,80,1,1,0,1,0,1,1,1,1,0,7,70,1,0,1,1,1,1,5,83.3333333333333,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,"25-35","Male","Undergraduate","Self Employed","Nuclear Family","Middle (less than 550 USD)","Male","5-9","2","Mother","Often","Good","Uncertain","Good"
331,331,2,1,5,2,2,3,1,3,2,2,1,0,1,1,1,0,0,1,1,1,1,0,0,7,70,1,1,0,1,1,1,1,1,1,0,8,80,1,0,1,1,1,1,5,83.3333333333333,FALSE,0,1,1,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,"25-35","Male","Undergraduate","Self Employed","Single Family","High (greater than 550 USD)","Male",">10","2","Mother","Never","Moderate","Positive","Good"
332,332,2,1,6,1,1,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,0,0,9,90,1,1,0,1,0,0,1,1,1,0,6,60,1,1,1,1,1,1,6,100,FALSE,1,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,"25-35","Male","Postgraduate","Employed","Nuclear Family","Middle (less than 550 USD)","Female","5-9","2","Mother","Often","Good","Uncertain","Good"
333,333,2,1,6,1,2,1,2,1,1,2,1,0,1,1,1,0,1,1,1,1,1,0,0,8,80,1,1,0,1,1,1,1,1,1,0,8,80,1,0,1,1,1,1,5,83.3333333333333,FALSE,1,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,"25-35","Male","Postgraduate","Employed","Single Family","Low (less than 350 USD)","Female","<5","1","Mother","Never","Good","Positive","Good"
334,334,2,1,2,1,2,1,1,3,3,2,1,0,1,0,1,0,0,1,1,1,1,0,0,6,60,1,1,0,1,1,1,0,1,1,0,7,70,1,0,1,1,1,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,"25-35","Male","Secondary","Employed","Single Family","Low (less than 350 USD)","Male",">10",">=3","Mother","Never","Moderate","Uncertain","Good"
335,335,4,1,1,2,2,2,2,3,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,2,20,0,0,1,1,1,1,0,1,1,0,6,60,1,0,1,1,1,0,4,66.6666666666667,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,"> 45","Male","Primary","Self Employed","Single Family","Middle (less than 550 USD)","Female",">10","2","Mother","Never","Poor","Uncertain","Misuse"
336,336,2,1,6,1,2,3,1,3,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,11,110,1,1,0,1,1,0,1,1,1,0,7,70,1,1,1,1,0,1,5,83.3333333333333,FALSE,1,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,"25-35","Male","Postgraduate","Employed","Single Family","High (greater than 550 USD)","Male",">10","2","Mother","Never","Good","Uncertain","Good"
337,337,2,2,6,3,2,3,1,3,2,2,1,0,0,0,1,0,1,1,1,1,1,0,0,6,60,1,1,1,1,0,1,1,1,1,0,8,80,1,1,1,1,1,1,6,100,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,"25-35","Female","Postgraduate","Not Employed","Single Family","High (greater than 550 USD)","Male",">10","2","Mother","Never","Moderate","Positive","Good"
338,338,3,2,6,3,2,2,1,3,1,2,1,1,0,0,1,0,1,1,1,1,1,0,0,7,70,1,1,0,1,1,0,1,1,1,0,7,70,1,0,1,1,0,1,4,66.6666666666667,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,"36-45","Female","Postgraduate","Not Employed","Single Family","Middle (less than 550 USD)","Male",">10","1","Mother","Never","Moderate","Uncertain","Misuse"
339,339,3,2,3,3,2,3,2,3,2,2,1,1,1,1,1,0,1,1,1,1,1,1,0,10,100,1,1,0,1,1,0,1,1,1,0,7,70,1,0,1,1,1,1,5,83.3333333333333,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,"36-45","Female","Secondary","Not Employed","Single Family","High (greater than 550 USD)","Female",">10","2","Mother","Never","Good","Uncertain","Good"
340,340,3,1,5,1,1,2,2,3,2,2,4,0,1,1,1,0,0,1,1,1,1,1,0,8,80,1,1,1,1,1,1,1,1,1,0,9,90,1,1,1,1,1,1,6,100,FALSE,0,0,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,"36-45","Male","Undergraduate","Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Mother","Always","Good","Positive","Good"
341,341,3,1,5,1,2,2,2,3,3,2,1,1,0,0,1,0,1,1,1,1,1,0,0,7,70,1,1,0,1,0,1,1,1,1,0,7,70,1,0,1,1,1,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,"36-45","Male","Undergraduate","Employed","Single Family","Middle (less than 550 USD)","Female",">10",">=3","Mother","Never","Moderate","Uncertain","Good"
342,342,3,2,6,3,1,2,1,3,2,2,1,0,0,0,1,1,0,1,1,1,0,1,0,6,60,1,1,0,1,1,1,0,1,1,1,8,80,0,1,0,1,0,0,2,33.3333333333333,FALSE,0,1,1,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,2,3,1,"36-45","Female","Postgraduate","Not Employed","Nuclear Family","Middle (less than 550 USD)","Male",">10","2","Mother","Never","Moderate","Positive","Misuse"
343,343,2,2,3,3,1,1,2,2,2,2,2,0,0,0,0,1,0,0,1,1,0,0,0,3,30,1,1,0,0,0,0,0,0,0,1,3,30,0,0,1,0,0,1,2,33.3333333333333,FALSE,0,1,1,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"25-35","Female","Secondary","Not Employed","Nuclear Family","Low (less than 350 USD)","Female","5-9","2","Mother","Often","Poor","Negative","Misuse"
344,344,3,2,6,1,1,2,2,3,3,2,3,1,1,1,1,0,0,0,0,1,0,1,1,7,70,1,1,0,1,0,1,1,1,1,1,8,80,0,1,1,1,1,0,4,66.6666666666667,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,"36-45","Female","Postgraduate","Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10",">=3","Mother","Often","Moderate","Positive","Misuse"
345,345,3,1,6,1,1,2,2,2,1,2,1,1,1,1,1,1,0,0,1,1,0,1,1,9,90,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,0,1,0,3,50,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,"36-45","Male","Postgraduate","Employed","Nuclear Family","Middle (less than 550 USD)","Female","5-9","1","Mother","Never","Good","Uncertain","Misuse"
346,346,3,1,5,1,1,2,1,2,2,2,2,0,0,0,1,0,1,0,1,0,0,0,1,4,40,1,1,0,0,0,0,1,0,0,1,4,40,0,0,0,0,0,0,0,0,FALSE,1,1,0,0,0,0,0,0,0,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"36-45","Male","Undergraduate","Employed","Nuclear Family","Middle (less than 550 USD)","Male","5-9","2","Mother","Often","Poor","Negative","Misuse"
347,347,3,1,3,2,1,1,1,2,3,2,1,1,0,1,1,1,0,0,1,1,0,0,1,7,70,1,1,0,0,0,0,1,0,0,1,4,40,0,1,0,0,0,0,1,16.6666666666667,FALSE,0,1,1,0,0,0,0,1,0,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,"36-45","Male","Secondary","Self Employed","Nuclear Family","Low (less than 350 USD)","Male","5-9",">=3","Mother","Never","Moderate","Negative","Misuse"
348,348,2,2,3,3,2,2,2,2,3,1,1,1,1,0,1,0,0,0,1,1,0,0,1,6,60,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,1,1,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,"25-35","Female","Secondary","Not Employed","Single Family","Middle (less than 550 USD)","Female","5-9",">=3","Father","Never","Moderate","Uncertain","Good"
349,349,2,2,3,3,2,2,2,3,3,2,1,1,1,0,1,0,0,0,1,1,1,0,1,7,70,1,1,0,1,0,0,0,1,1,1,6,60,0,0,1,1,0,0,2,33.3333333333333,FALSE,0,1,1,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,"25-35","Female","Secondary","Not Employed","Single Family","Middle (less than 550 USD)","Female",">10",">=3","Mother","Never","Moderate","Uncertain","Misuse"
350,350,3,1,3,2,2,2,1,3,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,7,70,1,1,0,1,1,0,1,1,1,1,8,80,0,1,1,1,0,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,"36-45","Male","Secondary","Self Employed","Single Family","Middle (less than 550 USD)","Male",">10","1","Father","Never","Moderate","Positive","Misuse"
351,351,2,2,2,3,3,2,1,2,2,1,2,1,1,0,1,0,0,0,1,1,0,0,1,6,60,1,1,0,1,0,0,1,1,1,1,7,70,0,0,1,0,1,1,3,50,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,"25-35","Female","Secondary","Not Employed","Extended Family","Middle (less than 550 USD)","Male","5-9","2","Father","Often","Moderate","Uncertain","Misuse"
352,352,2,2,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,1,1,1,0,1,1,6,60,1,1,1,1,0,1,0,1,1,1,8,80,0,1,1,1,1,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,"25-35","Female","Secondary","Not Employed","Single Family","Middle (less than 550 USD)","Female","5-9","2","Father","Never","Moderate","Positive","Good"
353,353,2,2,5,3,3,2,2,3,3,2,1,1,0,0,1,0,0,1,1,1,1,1,1,8,80,1,1,1,1,1,1,1,0,0,0,7,70,0,1,1,1,0,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,"25-35","Female","Undergraduate","Not Employed","Extended Family","Middle (less than 550 USD)","Female",">10",">=3","Mother","Never","Good","Uncertain","Misuse"
354,354,2,2,2,3,3,1,2,2,1,2,3,1,0,0,1,0,1,0,0,1,0,0,0,4,40,1,1,1,1,1,1,1,1,1,0,9,90,1,1,0,1,0,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,"25-35","Female","Secondary","Not Employed","Extended Family","Low (less than 350 USD)","Female","5-9","1","Mother","Often","Poor","Positive","Misuse"
355,355,2,2,3,3,3,2,2,2,2,2,3,1,0,0,1,0,1,0,0,1,1,0,1,6,60,1,1,1,1,0,0,1,1,1,1,8,80,0,0,1,1,1,1,4,66.6666666666667,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,"25-35","Female","Secondary","Not Employed","Extended Family","Middle (less than 550 USD)","Female","5-9","2","Mother","Often","Moderate","Positive","Misuse"
356,356,3,1,5,2,3,3,1,2,1,2,1,1,0,0,1,1,1,0,1,1,0,0,1,7,70,1,1,0,1,0,0,1,1,1,1,7,70,0,1,1,1,1,1,5,83.3333333333333,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,"36-45","Male","Undergraduate","Self Employed","Extended Family","High (greater than 550 USD)","Male","5-9","1","Mother","Never","Moderate","Uncertain","Good"
357,357,4,1,3,2,3,3,2,2,1,2,1,0,0,0,1,0,0,1,1,1,0,0,1,5,50,1,1,1,1,1,1,0,1,1,0,8,80,1,1,1,0,1,1,5,83.3333333333333,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,"> 45","Male","Secondary","Self Employed","Extended Family","High (greater than 550 USD)","Female","5-9","1","Mother","Never","Moderate","Positive","Good"
358,358,3,1,6,2,1,2,2,3,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,10,100,1,1,0,1,0,0,1,1,1,0,6,60,0,1,1,0,0,1,3,50,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,"36-45","Male","Postgraduate","Self Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Father","Never","Good","Uncertain","Misuse"
359,359,2,2,6,3,3,2,2,2,1,2,1,1,1,1,1,1,1,0,1,1,0,0,1,9,90,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,1,1,1,5,83.3333333333333,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,"25-35","Female","Postgraduate","Not Employed","Extended Family","Middle (less than 550 USD)","Female","5-9","1","Mother","Never","Good","Positive","Good"
360,360,3,1,2,2,3,2,2,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,8,80,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,0,0,1,3,50,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,1,0,0,0,3,3,1,"36-45","Male","Secondary","Self Employed","Extended Family","Middle (less than 550 USD)","Female","<5","1","Father","Never","Good","Positive","Misuse"
361,361,3,2,5,3,1,3,2,2,3,2,1,0,0,0,1,0,1,0,1,1,0,0,1,5,50,1,1,1,1,1,1,1,1,1,0,9,90,1,1,1,1,0,1,5,83.3333333333333,FALSE,0,1,1,0,0,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,"36-45","Female","Undergraduate","Not Employed","Nuclear Family","High (greater than 550 USD)","Female","5-9",">=3","Mother","Never","Moderate","Positive","Good"
362,362,3,1,2,2,1,2,2,3,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,7,70,1,1,1,1,0,0,1,1,1,0,7,70,0,0,1,0,1,1,3,50,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,"36-45","Male","Secondary","Self Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Father","Never","Moderate","Uncertain","Misuse"
363,363,3,2,6,3,1,3,2,2,2,2,1,1,0,0,1,0,1,0,1,1,1,1,1,8,80,1,1,1,1,0,0,1,1,1,0,7,70,0,1,0,0,0,0,1,16.6666666666667,FALSE,0,1,1,0,0,0,1,1,0,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,"36-45","Female","Postgraduate","Not Employed","Nuclear Family","High (greater than 550 USD)","Female","5-9","2","Mother","Never","Good","Uncertain","Misuse"
364,364,3,2,6,3,1,2,2,3,2,1,1,1,0,0,0,0,0,1,1,1,0,1,1,6,60,1,1,1,1,0,0,1,1,1,0,7,70,0,1,0,0,0,1,2,33.3333333333333,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,"36-45","Female","Postgraduate","Not Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Father","Never","Moderate","Uncertain","Misuse"
365,365,2,2,6,3,3,2,2,2,2,2,1,1,0,1,1,0,1,0,0,0,0,0,1,5,50,1,1,1,1,1,0,1,1,1,0,8,80,0,1,1,0,1,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,"25-35","Female","Postgraduate","Not Employed","Extended Family","Middle (less than 550 USD)","Female","5-9","2","Mother","Never","Moderate","Positive","Misuse"
366,366,2,2,3,3,1,2,2,3,2,1,1,1,0,0,1,0,0,1,1,1,1,1,0,7,70,1,1,1,1,0,0,1,1,1,0,7,70,1,1,1,0,1,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,"25-35","Female","Secondary","Not Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Father","Never","Moderate","Uncertain","Good"
367,367,3,2,5,3,3,3,2,2,2,2,1,1,1,1,1,0,1,0,1,1,1,0,0,8,80,1,1,1,0,1,0,1,1,1,0,7,70,0,1,1,0,1,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,"36-45","Female","Undergraduate","Not Employed","Extended Family","High (greater than 550 USD)","Female","5-9","2","Mother","Never","Good","Uncertain","Misuse"
368,368,2,2,5,3,3,2,1,3,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,8,80,1,1,1,1,0,0,1,1,1,0,7,70,0,1,1,0,1,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,"25-35","Female","Undergraduate","Not Employed","Extended Family","Middle (less than 550 USD)","Male",">10","1","Father","Never","Good","Uncertain","Misuse"
369,369,2,2,6,3,3,3,2,3,2,2,1,1,0,1,1,0,1,0,1,1,1,1,1,9,90,1,1,1,0,0,0,1,1,1,0,6,60,0,1,1,0,1,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,"25-35","Female","Postgraduate","Not Employed","Extended Family","High (greater than 550 USD)","Female",">10","2","Mother","Never","Good","Uncertain","Misuse"
370,370,2,2,2,3,2,2,1,3,2,1,1,1,0,0,1,0,0,1,1,1,1,1,0,7,70,1,1,1,1,0,0,1,1,1,0,7,70,0,1,1,1,1,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,"25-35","Female","Secondary","Not Employed","Single Family","Middle (less than 550 USD)","Male",">10","2","Father","Never","Moderate","Uncertain","Good"
371,371,4,2,6,2,1,3,1,3,2,2,1,0,1,1,1,0,0,0,1,1,1,0,1,7,70,1,1,1,1,1,1,1,1,1,0,9,90,1,1,1,1,0,0,4,66.6666666666667,FALSE,1,1,0,0,0,0,1,1,0,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,"> 45","Female","Postgraduate","Self Employed","Nuclear Family","High (greater than 550 USD)","Male",">10","2","Mother","Never","Moderate","Positive","Misuse"
372,372,3,2,5,3,1,2,2,3,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,8,80,0,0,0,1,0,0,1,1,1,0,4,40,0,1,1,0,1,1,4,66.6666666666667,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,"36-45","Female","Undergraduate","Not Employed","Nuclear Family","Middle (less than 550 USD)","Female",">10","2","Father","Never","Good","Negative","Misuse"
373,373,2,2,3,3,3,2,1,3,3,2,1,1,0,0,1,0,1,0,0,0,1,0,0,4,40,1,1,1,1,0,0,1,1,1,0,7,70,1,1,1,0,1,1,5,83.3333333333333,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,"25-35","Female","Secondary","Not Employed","Extended Family","Middle (less than 550 USD)","Male",">10",">=3","Mother","Never","Poor","Uncertain","Good"
374,374,1,2,2,3,1,3,1,2,1,2,1,0,0,0,1,0,0,0,1,1,1,0,1,5,50,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,1,16.6666666666667,FALSE,0,0,1,0,1,0,0,0,1,FALSE,0,1,1,0,0,0,0,1,1,0,0,0,2,1,1,"< 25","Female","Secondary","Not Employed","Nuclear Family","High (greater than 550 USD)","Male","5-9","1","Mother","Never","Moderate","Negative","Misuse"
375,375,2,2,3,3,2,2,1,2,2,2,3,0,1,1,1,0,1,0,1,1,1,1,1,9,90,1,1,0,1,0,0,1,1,1,0,6,60,0,1,1,0,0,1,3,50,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,"25-35","Female","Secondary","Not Employed","Single Family","Middle (less than 550 USD)","Male","5-9","2","Mother","Often","Good","Uncertain","Misuse"
376,376,3,2,2,3,1,2,1,3,3,1,1,1,0,0,1,0,0,1,1,1,1,1,1,8,80,1,1,1,1,0,0,1,1,1,1,8,80,0,0,1,0,1,1,3,50,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,"36-45","Female","Secondary","Not Employed","Nuclear Family","Middle (less than 550 USD)","Male",">10",">=3","Father","Never","Good","Positive","Misuse"
377,377,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,0,1,0,1,1,1,1,1,10,100,1,1,1,1,0,0,1,0,0,0,5,50,0,1,1,0,0,1,3,50,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,1,1,1,0,0,3,2,1,"25-35","Female","Secondary","Self Employed","Nuclear Family","Low (less than 350 USD)","Male","5-9","2","Mother","Never","Good","Uncertain","Misuse"
378,378,3,2,2,3,1,2,2,2,3,2,1,1,0,0,1,0,1,0,0,0,1,1,0,5,50,1,1,1,1,0,0,1,1,1,1,8,80,0,1,1,0,1,1,4,66.6666666666667,FALSE,0,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,2,3,1,"36-45","Female","Secondary","Not Employed","Nuclear Family","Middle (less than 550 USD)","Female","5-9",">=3","Mother","Never","Moderate","Positive","Misuse"
379,379,2,2,6,3,3,2,2,2,1,2,1,1,0,1,1,0,0,1,1,0,0,0,0,5,50,1,1,1,1,0,1,1,1,1,1,9,90,1,1,1,1,0,1,5,83.3333333333333,FALSE,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,"25-35","Female","Postgraduate","Not Employed","Extended Family","Middle (less than 550 USD)","Female","5-9","1","Mother","Never","Moderate","Positive","Good"
